Course Title,University,Country,Course Area
Sustainability in Global Value Chains,Aalto University School of Business,Finland,Communities – Tech and Society
"Sustainable Entrepreneurship, Markets, and Systems Change",Aalto University School of Business,Finland,Comm - Technology & Society
"Sustainable Entrepreneurship, Markets, and Systems Change",Aalto University School of Business,Finland,Communities – Tech and Society
Technology-driven Service Strategy,Aalto University School of Business,Finland,Comm - Technology & Society
Technology-driven Service Strategy,Aalto University School of Business,Finland,Communities – Tech and Society
Consumer Culture,Aalto University School of Business,Finland,Comm - Cltr of the Modern Wrl
Consumer Culture,Aalto University School of Business,Finland,Comm - Cultures of the Mod W
Survival Finnish 1,Aalto University School of Business,Finland,Comm - Cltr of the Modern Wrl
Survival Finnish 1,Aalto University School of Business,Finland,Comm - Cultures of the Mod W
Survival Finnish 2,Aalto University School of Business,Finland,Comm - Cltr of the Modern Wrl
Survival Finnish 2,Aalto University School of Business,Finland,Comm - Cultures of the Mod W
Survival Finnish Online,Aalto University School of Business,Finland,Comm - Cltr of the Modern Wrl
Survival Finnish Online,Aalto University School of Business,Finland,Comm - Cultures of the Mod W
Swedish for International Students 1A,Aalto University School of Business,Finland,Comm - Cltr of the Modern Wrl
Swedish for International Students 1A,Aalto University School of Business,Finland,Comm - Cultures of the Mod W
Swedish for International Students 1B,Aalto University School of Business,Finland,Comm - Cltr of the Modern Wrl
Swedish for International Students 1B,Aalto University School of Business,Finland,Comm - Cultures of the Mod W
The New Sustainability in Business,Aalto University School of Business,Finland,Comm - Cltr of the Modern Wrl
The New Sustainability in Business,Aalto University School of Business,Finland,Comm - Cultures of the Mod W
Entrepreneurship as my life and work orientation,Aalto University School of Business,Finland,Career Skills
Macroeconomics: Policy,Aalto University School of Business,Finland,Economics Major Elective
CORPORATE FINANCE,Aalto University School of Business,Finland,EMR (Accounting/Business)
25C00100 Entrepreneurship and Innovation Management,Aalto University School of Business,Finland,Entrepreneurship Cluster
Entrepreneurial Competencies,Aalto University School of Business,Finland,Entrepreneurship Cluster
Entrepreneurship and Innovation Management,Aalto University School of Business,Finland,Entrepreneurship Cluster
Entrepreneurship and Society,Aalto University School of Business,Finland,Entrepreneurship Cluster
Market Entry Strategies for Entrepreneurial Business,Aalto University School of Business,Finland,Entrepreneurship Cluster
Sustainable Entrepreneurship,Aalto University School of Business,Finland,Entrepreneurship Cluster
Megatrends as Entrepreneurial Opportunities,Aalto University School of Business,Finland,Free Electives (For LKCSB)
"Sustainable Entrepreneurship, Markets, and Systems Change",Aalto University School of Business,Finland,Free Electives (For LKCSB)
Algebraic Methods in Data Science,Aalto University School of Business,Finland,Free Electives (SCIS only)
Consumer Psychology,Aalto University School of Business,Finland,Free Electives (SCIS only)
First Course in Probability and Statistics,Aalto University School of Business,Finland,Free Electives (SCIS only)
Introduction to Financial Accounting,Aalto University School of Business,Finland,Free Electives (SCIS only)
Consumer Behavior and Retail Experience Management in Fashion and Design Business,Aalto University School of Business,Finland,General Education - Arts
Gender and Diversity at Work,Aalto University School of Business,Finland,General Education - Arts
Psychology and Practice of Academic Writing,Aalto University School of Business,Finland,General Education - Arts
Global Logistics and Distribution Networks,Aalto University School of Business,Finland,Globalisation
International Business and Strategy,Aalto University School of Business,Finland,Globalisation
International Business in the era of disruptions,Aalto University School of Business,Finland,Globalisation
Introduction to Management and International Business,Aalto University School of Business,Finland,Globalisation
Investment Decisions in Emerging Markets,Aalto University School of Business,Finland,Globalisation
Market-based Development in the Global South,Aalto University School of Business,Finland,Globalisation
Sustainability and Global Value Chains,Aalto University School of Business,Finland,Globalisation
Business and societal networks in the Baltic Sea Region,Aalto University School of Business,Finland,Global and Regional Studies
Comparative Regional Analysis,Aalto University School of Business,Finland,Global and Regional Studies
Doing business in China,Aalto University School of Business,Finland,Global and Regional Studies
Driving Global Businesses,Aalto University School of Business,Finland,Global and Regional Studies
International Contracts,Aalto University School of Business,Finland,Global and Regional Studies
International Human Resource Management,Aalto University School of Business,Finland,Global and Regional Studies
International Taxation,Aalto University School of Business,Finland,Global and Regional Studies
Managing in a Global Context,Aalto University School of Business,Finland,Global and Regional Studies
Multinational Management,Aalto University School of Business,Finland,Global and Regional Studies
People Management in Multinational Organizations,Aalto University School of Business,Finland,Global and Regional Studies
Rising China - Business and State,Aalto University School of Business,Finland,Global and Regional Studies
Russian Economic Transformation,Aalto University School of Business,Finland,Global and Regional Studies
Russian Economy: Opportunities and Challenges for Doing Business,Aalto University School of Business,Finland,Global and Regional Studies
International Management Leadership,Aalto University School of Business,Finland,GRS + OBHR
How to change the world: Innovation toward sustainability,Aalto University School of Business,Finland,GRS + MGMT
"""Put your Head on Blockchain""",Aalto University School of Business,Finland,IS Technology Depth Elective
Data Science for Business II,Aalto University School of Business,Finland,IS Technology Depth Elective
25C00100 Entrepreneurship and Innovation Management,Aalto University School of Business,Finland,Business-Oriented Elective
Corporate Entrepreneurship and Innovation,Aalto University School of Business,Finland,Business-Oriented Elective
Creativity in Marketing,Aalto University School of Business,Finland,Business-Oriented Elective
Entrepreneurship as a Field of Science,Aalto University School of Business,Finland,Business-Oriented Elective
Accounting and Information Systems,Aalto University School of Business,Finland,IS Management Depth Elective
Accounting and Information Systems,Aalto University School of Business,Finland,Analytics Major Elective
Models in Marketing,Aalto University School of Business,Finland,Analytics Major Elective
Research Methods in Accounting,Aalto University School of Business,Finland,Analytics Major Elective
Data Science for Business,Aalto University School of Business,Finland,ISTDE + ANA (Adv Tech Track)
Consumer Research,Aalto University School of Business,Finland,IS Options
Doing Business in Emerging Markets,Aalto University School of Business,Finland,IS Options
Entrepreneurship and Innovation Management,Aalto University School of Business,Finland,IS Options
Intermediate Microeconomics I,Aalto University School of Business,Finland,IS Options
Managing in Organizations,Aalto University School of Business,Finland,IS Options
Marketing Analytics,Aalto University School of Business,Finland,IS Options
Brands in strategic management,Aalto University School of Business,Finland,SSMR (Econs/Acct/Business)
Doing Business in the EU,Aalto University School of Business,Finland,SSMR (Econs/Acct/Business)
Gendered Practices in Organizational Contexts,Aalto University School of Business,Finland,SSMR (Econs/Acct/Business)
Internationalisation of the Firm,Aalto University School of Business,Finland,SSMR (Econs/Acct/Business)
Introduction with Marketing,Aalto University School of Business,Finland,SSMR (Econs/Acct/Business)
Sales Competition Course,Aalto University School of Business,Finland,SSMR (Econs/Acct/Business)
Consumer Psychology,Aalto University School of Business,Finland,SSMR (Social Science)
Digital Marketing,Aalto University School of Business,Finland,Technology & Entrepreneurship
Digital Marketing,Aalto University School of Business,Finland,Technology and Entrepreneursh
Digital Marketing,Aalto University School of Business,Finland,Technology and Entrepreneurshi
Entrepreneurial Behaviour and Competencies,Aalto University School of Business,Finland,Technology & Entrepreneurship
Entrepreneurial Behaviour and Competencies,Aalto University School of Business,Finland,Technology and Entrepreneursh
Entrepreneurial Behaviour and Competencies,Aalto University School of Business,Finland,Technology and Entrepreneurshi
Researching Entrepreneurship and Innovation,Aalto University School of Business,Finland,Technology & Entrepreneurship
Researching Entrepreneurship and Innovation,Aalto University School of Business,Finland,Technology and Entrepreneursh
Researching Entrepreneurship and Innovation,Aalto University School of Business,Finland,Technology and Entrepreneurshi
Sustainable Entrepreneurship,Aalto University School of Business,Finland,Technology & Entrepreneurship
Sustainable Entrepreneurship,Aalto University School of Business,Finland,Technology and Entrepreneursh
Sustainable Entrepreneurship,Aalto University School of Business,Finland,Technology and Entrepreneurshi
Venture Formation,Aalto University School of Business,Finland,Technology & Entrepreneurship
Venture Formation,Aalto University School of Business,Finland,Technology and Entrepreneursh
Venture Formation,Aalto University School of Business,Finland,Technology and Entrepreneurshi
Digital Marketing,Aalto University School of Business,Finland,TE + MKTG
Financial Statement Analysis and Valuation,Hanken School of Economics,Finland,Valuation
Economics of Development,Hanken School of Economics,Finland,Development Economics
Money and Monetary Policy (UnivHelsinki),Hanken School of Economics,Finland,Monetary Economics
Competition Economics,Hanken School of Economics,Finland,"Econ. of Privat.,R,&Comp Pol"
Capital Budgeting,Hanken School of Economics,Finland,Acct Options / Acct Elective
Computer Programming,Hanken School of Economics,Finland,Acct Options / Acct Elective
Financial Statement Analysis and Valuation II,Hanken School of Economics,Finland,Acct Options / Acct Elective
Financial Reporting and Corporate Governance,Hanken School of Economics,Finland,AO (Risk Mgmt & Assurance Trk)
Advanced Course in Excel and VBA,Hanken School of Economics,Finland,ADA Major Elective + AO/AE
Business Analytics,Hanken School of Economics,Finland,ADA Major Elective + AO/AE
Global Competence: Data Analytics,Hanken School of Economics,Finland,ADA Major Elective + AO/AE
Multivariate Data Analysis,Hanken School of Economics,Finland,ADA Major Elective + AO/AE
Python Programming for Business Intelligence,Hanken School of Economics,Finland,ADA Major Elective + AO/AE
Quantum I: Data-Driven Decision Making,Hanken School of Economics,Finland,ADA Major Elective + AO/AE
Competition Policy,Hanken School of Economics,Finland,Business Option
Economics of Organisation and Information,Hanken School of Economics,Finland,Business Option
Economics of Strategy,Hanken School of Economics,Finland,Business Option
Managing Knowledge and Innovation,Hanken School of Economics,Finland,Business Option
Banking and Finance,Hanken School of Economics,Finland,Finance Major Elective
Current Issues in Finance,Hanken School of Economics,Finland,Finance Major Elective
International Corporate Governance,Hanken School of Economics,Finland,Finance Major Elective
Introduction to Mathematical Finance,Hanken School of Economics,Finland,Finance Major Elective
Pricing of Financial Securities and Derivatives,Hanken School of Economics,Finland,Finance Major Elective
Principles of Wealth Management,Hanken School of Economics,Finland,Finance Major Elective
Corporate Sustainability,Hanken School of Economics,Finland,Strategic Mgmt Major Elective
"Firms and Business Environments, Hki",Hanken School of Economics,Finland,Strategic Mgmt Major Elective
Advertising and Promotion Planning,Hanken School of Economics,Finland,Marketing Major Elective
Contemporary Branding,Hanken School of Economics,Finland,Marketing Major Elective
Customer Asset Management,Hanken School of Economics,Finland,Marketing Major Elective
Personal Selling,Hanken School of Economics,Finland,Marketing Major Elective
Service Design and Innovation,Hanken School of Economics,Finland,Marketing Major Elective
Service Development Project,Hanken School of Economics,Finland,Marketing Major Elective
Service Marketing,Hanken School of Economics,Finland,Marketing Major Elective
Service and Relationship Marketing,Hanken School of Economics,Finland,Marketing Major Elective
Small Business Marketing,Hanken School of Economics,Finland,Marketing Major Elective
"Corporate governance, strategic management",Hanken School of Economics,Finland,Org Behaviour & HR Major Elec
Organization analysis,Hanken School of Economics,Finland,Org Behaviour & HR Major Elec
Project Management,Hanken School of Economics,Finland,Operations Mgmt Major Elective
Business and Society,Hanken School of Economics,Finland,Capabilities - Managing
Nordic Organisations in Contemporary Business World,Hanken School of Economics,Finland,Capabilities - Managing
3794-E Climate Change and Electricity Trade,Hanken School of Economics,Finland,Comm - Technology & Society
3794-E Climate Change and Electricity Trade,Hanken School of Economics,Finland,Communities – Tech and Society
Digital Economy and Society,Hanken School of Economics,Finland,Comm - Technology & Society
Digital Economy and Society,Hanken School of Economics,Finland,Communities – Tech and Society
Sustainable Venture Creation,Hanken School of Economics,Finland,Comm - Technology & Society
Sustainable Venture Creation,Hanken School of Economics,Finland,Communities – Tech and Society
Elementary Finnish I A,Hanken School of Economics,Finland,Comm - Cltr of the Modern Wrl
Elementary Finnish I A,Hanken School of Economics,Finland,Comm - Cultures of the Mod W
Elementary Finnish I B,Hanken School of Economics,Finland,Comm - Cltr of the Modern Wrl
Elementary Finnish I B,Hanken School of Economics,Finland,Comm - Cultures of the Mod W
Elementary Finnish IA,Hanken School of Economics,Finland,Comm - Cltr of the Modern Wrl
Elementary Finnish IA,Hanken School of Economics,Finland,Comm - Cultures of the Mod W
Elementary Finnish IB,Hanken School of Economics,Finland,Comm - Cltr of the Modern Wrl
Elementary Finnish IB,Hanken School of Economics,Finland,Comm - Cultures of the Mod W
Swedish as a Foreign Language 1A,Hanken School of Economics,Finland,Comm - Cltr of the Modern Wrl
Swedish as a Foreign Language 1A,Hanken School of Economics,Finland,Comm - Cultures of the Mod W
Swedish as a Foreign Language 1A - Svenska som främmande språk 1A,Hanken School of Economics,Finland,Comm - Cltr of the Modern Wrl
Swedish as a Foreign Language 1A - Svenska som främmande språk 1A,Hanken School of Economics,Finland,Comm - Cultures of the Mod W
Swedish as a Foreign Language 1B,Hanken School of Economics,Finland,Comm - Cltr of the Modern Wrl
Swedish as a Foreign Language 1B,Hanken School of Economics,Finland,Comm - Cultures of the Mod W
Swedish as a Foreign Language 1B - Svenska som främmande språk 1B,Hanken School of Economics,Finland,Comm - Cltr of the Modern Wrl
Swedish as a Foreign Language 1B - Svenska som främmande språk 1B,Hanken School of Economics,Finland,Comm - Cultures of the Mod W
Swedish as a Foreign Language 1C,Hanken School of Economics,Finland,Comm - Cltr of the Modern Wrl
Swedish as a Foreign Language 1C,Hanken School of Economics,Finland,Comm - Cultures of the Mod W
Managing Negotiations,Hanken School of Economics,Finland,Career Skills
Competition Policy,Hanken School of Economics,Finland,Economics Major Elective
Economics of Organisation and Information,Hanken School of Economics,Finland,Economics Major Elective
Quantitative Financial Economics,Hanken School of Economics,Finland,Economics Major Elective
Strategic Competition,Hanken School of Economics,Finland,Economics Major Elective
"Gender, Management and Organization",Hanken School of Economics,Finland,EMR (Accounting/Business)
Advanced Topics in Financial Economics,Hanken School of Economics,Finland,ECON + FNCE
Introductory Business Intelligence,Hanken School of Economics,Finland,Data Science & Analytics (DA)
Market Research and Analytics,Hanken School of Economics,Finland,Data Science & Analytics (DA)
"Advanced Management of Corporate Entrepreneurship, Hki",Hanken School of Economics,Finland,Entrepreneurship Cluster
E-Business and digital marketing,Hanken School of Economics,Finland,Entrepreneurship Cluster
Nordic Organisations in Contemporary Business World,Hanken School of Economics,Finland,Free Electives (For LKCSB)
Introduction to IP - IPR is the New Black,Hanken School of Economics,Finland,Free Electives (For SOE only)
23136 Principles of Advertising,Hanken School of Economics,Finland,Free Electives (SCIS only)
23142 Service Marketing and Innovation,Hanken School of Economics,Finland,Free Electives (SCIS only)
23219 Responsible Marketing,Hanken School of Economics,Finland,Free Electives (SCIS only)
37010-E Digital Economy and Society,Hanken School of Economics,Finland,Free Electives (SCIS only)
37047-E Introduction to IP - IPR is the New Black,Hanken School of Economics,Finland,Free Electives (SCIS only)
3794-E Climate Change and Electricity Trade,Hanken School of Economics,Finland,Free Electives (SCIS only)
Business Communication,Hanken School of Economics,Finland,Free Electives (SCIS only)
Current Issues in Finance,Hanken School of Economics,Finland,Free Electives (SCIS only)
International Business,Hanken School of Economics,Finland,Free Electives (SCIS only)
Corporate Sustainability,Hanken School of Economics,Finland,Free Electives (SOA only)
Nordic Organisations in Contemporary Business World,Hanken School of Economics,Finland,Free Electives (SOA only)
Project Management,Hanken School of Economics,Finland,Free Electives (SOA only)
Global Political and Economic Relations,Hanken School of Economics,Finland,General Education - Arts
Business and World Politics,Hanken School of Economics,Finland,Globalisation
International Business,Hanken School of Economics,Finland,Globalisation
Intercultural Communication,Hanken School of Economics,Finland,Global and Regional Studies
International Accounting,Hanken School of Economics,Finland,Global and Regional Studies
International Business,Hanken School of Economics,Finland,Global and Regional Studies
Strategic International Human Resource Management,Hanken School of Economics,Finland,GRS + OBHR
Multivariate Data Analysis,Hanken School of Economics,Finland,IS Technology Depth Elective
Business Networks and Strategy,Hanken School of Economics,Finland,IS Management Depth Elective
E-Business,Hanken School of Economics,Finland,IS Management Depth Elective
Service Innovation: Customers and Service Systems,Hanken School of Economics,Finland,IS Management Depth Elective
Service Marketing,Hanken School of Economics,Finland,SSMR (Econs/Acct/Business)
Fundamentals of Intellectual Property Law,Hanken School of Economics,Finland,SSMR (Social Science)
Global Political and Economic Relations,Hanken School of Economics,Finland,Political Science Major
E-Business and Digital Marketing,Hanken School of Economics,Finland,Technology & Entrepreneurship
E-Business and Digital Marketing,Hanken School of Economics,Finland,Technology and Entrepreneursh
E-Business and Digital Marketing,Hanken School of Economics,Finland,Technology and Entrepreneurshi
E-Business and digital marketing,Hanken School of Economics,Finland,Technology & Entrepreneurship
E-Business and digital marketing,Hanken School of Economics,Finland,Technology and Entrepreneursh
E-Business and digital marketing,Hanken School of Economics,Finland,Technology and Entrepreneurshi
Service Innovation: Customers and Service Systems,Hanken School of Economics,Finland,Technology & Entrepreneurship
Service Innovation: Customers and Service Systems,Hanken School of Economics,Finland,Technology and Entrepreneursh
Service Innovation: Customers and Service Systems,Hanken School of Economics,Finland,Technology and Entrepreneurshi
Project Management,Hanken School of Economics,Finland,Technology Studies
History of Economic Thought,Université Paris-Dauphine,France,Economic History
Development Economics,Université Paris-Dauphine,France,Development Economics
Introduction to development studies,Université Paris-Dauphine,France,Development Economics
An Introduction to Game Theory,Université Paris-Dauphine,France,Game Theory
Game Theory,Université Paris-Dauphine,France,Game Theory
Economie Industrielle,Université Paris-Dauphine,France,Industrial Organisation
Industrial Organization,Université Paris-Dauphine,France,Industrial Organisation
Public Economics,Université Paris-Dauphine,France,Public Sector Economics
Public Economics I,Université Paris-Dauphine,France,Public Sector Economics
Topics In Public Economics,Université Paris-Dauphine,France,Public Sector Economics
Energy and Climate Change Economics,Université Paris-Dauphine,France,Environmental Economics
Economic Growth Theory,Université Paris-Dauphine,France,Economic Growth
0IECOY07 - Regional and Urban Economics,Université Paris-Dauphine,France,Urban Economics and Policy
Regional and Urban Economics,Université Paris-Dauphine,France,Urban Economics and Policy
Derivatives instruments and markets,Université Paris-Dauphine,France,Analy of Derivative Securities
FLE Cours Elementaire,Université Paris-Dauphine,France,French
Derivatives instruments and markets,Université Paris-Dauphine,France,Acct Options / Acct Elective
Management Accounting and Management Control,Université Paris-Dauphine,France,Acct Options / Acct Elective
Project Management Accounting,Université Paris-Dauphine,France,Acct Options / Acct Elective
Management control: management control 2,Université Paris-Dauphine,France,AO (Financial Management Track
Applied Statistics for management,Université Paris-Dauphine,France,ADA Major Elective + AO/AE
Data Analysis,Université Paris-Dauphine,France,ADA Major Elective + AO/AE
Management Information System,Université Paris-Dauphine,France,ADA Major Elective + AO/AE
Statistical modelling,Université Paris-Dauphine,France,ADA Major Elective + AO/AE
Cross-Cultural Management,Université Paris-Dauphine,France,Asian Studies
"Hezbollah: Reinventing the Relationship Between Islam, Armed Struggle, and Politics",Université Paris-Dauphine,France,Asian Studies
"Lebanon: Consociational Politics, Civil War, and Resistance",Université Paris-Dauphine,France,Asian Studies
The Relationships between China and the United States: from cooperation to rivalry,Université Paris-Dauphine,France,Asian Studies
An Introduction to Game Theory,Université Paris-Dauphine,France,Business Option
Antitrust Economics,Université Paris-Dauphine,France,Business Option
Asset allocation,Université Paris-Dauphine,France,Business Option
Behavioral Finance,Université Paris-Dauphine,France,Business Option
Business 2.0,Université Paris-Dauphine,France,Business Option
Collective Decision Making,Université Paris-Dauphine,France,Business Option
Company Culture,Université Paris-Dauphine,France,Business Option
Corporate Finance,Université Paris-Dauphine,France,Business Option
Cross-Cultural Communication and Management,Université Paris-Dauphine,France,Business Option
Cross-cultural Communication and Management,Université Paris-Dauphine,France,Business Option
Cross-cultural Management,Université Paris-Dauphine,France,Business Option
Cross-cultural management S1,Université Paris-Dauphine,France,Business Option
Culture and practice of entrepreneurship in the English-speaking world,Université Paris-Dauphine,France,Business Option
Data Analysis,Université Paris-Dauphine,France,Business Option
Development Economics,Université Paris-Dauphine,France,Business Option
Energy and Climate Change Economics,Université Paris-Dauphine,France,Business Option
Ethics and Compliance,Université Paris-Dauphine,France,Business Option
Europe: Today's Challenges,Université Paris-Dauphine,France,Business Option
Financial crisis,Université Paris-Dauphine,France,Business Option
Game Theory,Université Paris-Dauphine,France,Business Option
Global Media,Université Paris-Dauphine,France,Business Option
Global media,Université Paris-Dauphine,France,Business Option
Globalization strategies of firms,Université Paris-Dauphine,France,Business Option
Human resource management,Université Paris-Dauphine,France,Business Option
Industry and Innovation in Europe,Université Paris-Dauphine,France,Business Option
Innovation and Change Management,Université Paris-Dauphine,France,Business Option
International Business Ethics,Université Paris-Dauphine,France,Business Option
International Consumer Behavior,Université Paris-Dauphine,France,Business Option
International Economics,Université Paris-Dauphine,France,Business Option
International Marketing,Université Paris-Dauphine,France,Business Option
"Investments, Risks and Insurances Crédit",Université Paris-Dauphine,France,Business Option
Management Control,Université Paris-Dauphine,France,Business Option
Management Information System,Université Paris-Dauphine,France,Business Option
Management Information System and Diffusion of Innovations,Université Paris-Dauphine,France,Business Option
Management Information Systems and diffusion of innovations,Université Paris-Dauphine,France,Business Option
Marketing applied to the luxury sector,Université Paris-Dauphine,France,Business Option
Migrations in globalisation,Université Paris-Dauphine,France,Business Option
PRIVATE EQUITY,Université Paris-Dauphine,France,Business Option
Public Economics,Université Paris-Dauphine,France,Business Option
"Risk, Investment and Insurance Analysis",Université Paris-Dauphine,France,Business Option
Scientific management and support for decision making - 15 students max,Université Paris-Dauphine,France,Business Option
Services Marketing,Université Paris-Dauphine,France,Business Option
Social and business networks,Université Paris-Dauphine,France,Business Option
accounting and financial reporting,Université Paris-Dauphine,France,Business Option
Corporate Social Responsibility/ Sustainable Business,Université Paris-Dauphine,France,Business Elective
Corporate Social Responsibility/ Sustainable Business,Université Paris-Dauphine,France,Business Elective (<=2018)
Cross-Cultural Barriers,Université Paris-Dauphine,France,Business Elective
Cross-Cultural Barriers,Université Paris-Dauphine,France,Business Elective (<=2018)
Behavioral Finance,Université Paris-Dauphine,France,Finance Major Elective
Behavioral Finance (Edited),Université Paris-Dauphine,France,Finance Major Elective
Behavioral finance,Université Paris-Dauphine,France,Finance Major Elective
Business Evaluation,Université Paris-Dauphine,France,Finance Major Elective
Business Valuation,Université Paris-Dauphine,France,Finance Major Elective
Commodity Markets,Université Paris-Dauphine,France,Finance Major Elective
Derivatives and risk management,Université Paris-Dauphine,France,Finance Major Elective
Derivatives instruments and markets,Université Paris-Dauphine,France,Finance Major Elective
Electronic Markets,Université Paris-Dauphine,France,Finance Major Elective
Energy Derivatives,Université Paris-Dauphine,France,Finance Major Elective
Financial Analysis and financial engineering,Université Paris-Dauphine,France,Finance Major Elective
Financial Modeling and Applications,Université Paris-Dauphine,France,Finance Major Elective
Financial Modelling and Applications,Université Paris-Dauphine,France,Finance Major Elective
Financial Modelling and applications,Université Paris-Dauphine,France,Finance Major Elective
Financial Statement Analysis,Université Paris-Dauphine,France,Finance Major Elective
Financial statements analysis,Université Paris-Dauphine,France,Finance Major Elective
Fixed Income Markets,Université Paris-Dauphine,France,Finance Major Elective
Fixed income markets,Université Paris-Dauphine,France,Finance Major Elective
International finance,Université Paris-Dauphine,France,Finance Major Elective
"Investments, Risks and Insurances",Université Paris-Dauphine,France,Finance Major Elective
Merger's and Acquisition,Université Paris-Dauphine,France,Finance Major Elective
Microstructure of financial markets,Université Paris-Dauphine,France,Finance Major Elective
"Money, Financial Crises and Cryptocurrencies",Université Paris-Dauphine,France,Finance Major Elective
Portfolio Management,Université Paris-Dauphine,France,Finance Major Elective
Private Equity,Université Paris-Dauphine,France,Finance Major Elective
Risk Premia,Université Paris-Dauphine,France,Finance Major Elective
Risk and Investment and Insurance (Incomplete Markets),Université Paris-Dauphine,France,Finance Major Elective
Term Structure and Commodity Derivatives Markets,Université Paris-Dauphine,France,Finance Major Elective
fixed income,Université Paris-Dauphine,France,Finance Major Elective
Business Plan,Université Paris-Dauphine,France,Strategic Mgmt Major Elective
Corporate Social Responsibility/ Sustainable Business,Université Paris-Dauphine,France,Strategic Mgmt Major Elective
Glob'Strat,Université Paris-Dauphine,France,Strategic Mgmt Major Elective
CUSTOMER RELATIONSHIP MANAGEMENT,Université Paris-Dauphine,France,Marketing Major Elective
Digital Marketing Management,Université Paris-Dauphine,France,Marketing Major Elective
International Marketing,Université Paris-Dauphine,France,Marketing Major Elective
Luxury Marketing,Université Paris-Dauphine,France,Marketing Major Elective
Marketing applied to the luxury sector,Université Paris-Dauphine,France,Marketing Major Elective
Marketing of the Luxury Sector,Université Paris-Dauphine,France,Marketing Major Elective
Strategic Customer Management: An Introduction,Université Paris-Dauphine,France,Marketing Major Elective
Strategic Marketing,Université Paris-Dauphine,France,Marketing Major Elective
Company Culture,Université Paris-Dauphine,France,Org Behaviour & HR Major Elec
Management Control,Université Paris-Dauphine,France,Org Behaviour & HR Major Elec
Industrial Organisation,Université Paris-Dauphine,France,Operations Mgmt Major Elective
MANAGEMENT TECHNOLOGIES,Université Paris-Dauphine,France,Operations Mgmt Major Elective
0IELSX06 – Cross cultural Communication and Management,Université Paris-Dauphine,France,Corp Comm Major Elective
Cross-Cultural Barriers,Université Paris-Dauphine,France,Corp Comm Major Elective
0IBUSX16 – Marketing Communications,Université Paris-Dauphine,France,MKTG + CORC
Culture and Practice of Entrepreneurship in the English-speaking world,Université Paris-Dauphine,France,MGMT (Entre'ship Track) Elec
In-depth continuous process (Intro to Stochastic Calculus),Université Paris-Dauphine,France,Quantitative Finance Elective
Fixed Income Markets,Université Paris-Dauphine,France,Finance (ITT Track) Electives
Company Culture,Université Paris-Dauphine,France,Capabilities - Managing
Corporate Social Responsibility,Université Paris-Dauphine,France,Capabilities - Managing
Management Control,Université Paris-Dauphine,France,Capabilities - Managing
Critical Thinking,Université Paris-Dauphine,France,Cap - Modes of Thinking
Cross-cultural Communication and Management,Université Paris-Dauphine,France,Cap - Modes of Thinking
Current issues in Sociology,Université Paris-Dauphine,France,Cap - Modes of Thinking
History of economic thought,Université Paris-Dauphine,France,Cap - Modes of Thinking
Industrial Organisation,Université Paris-Dauphine,France,Cap - Modes of Thinking
"Islam and the State: Paradigms, Practice and Sociopolitical Change",Université Paris-Dauphine,France,Cap - Modes of Thinking
Material Culture,Université Paris-Dauphine,France,Cap - Modes of Thinking
Migrations in globalization,Université Paris-Dauphine,France,Cap - Modes of Thinking
0IBUSZ01 – Management Information System,Université Paris-Dauphine,France,Comm - Technology & Society
0IBUSZ01 – Management Information System,Université Paris-Dauphine,France,Communities – Tech and Society
Cross Cultural Communication and Management,Université Paris-Dauphine,France,Comm - Technology & Society
Cross Cultural Communication and Management,Université Paris-Dauphine,France,Communities – Tech and Society
Global Climate Politics: Comparative EU-US Perspectives,Université Paris-Dauphine,France,Comm - Technology & Society
Global Climate Politics: Comparative EU-US Perspectives,Université Paris-Dauphine,France,Communities – Tech and Society
Global Media,Université Paris-Dauphine,France,Comm - Technology & Society
Global Media,Université Paris-Dauphine,France,Communities – Tech and Society
"Global Media : Fabrication, Circulations, Identities",Université Paris-Dauphine,France,Comm - Technology & Society
"Global Media : Fabrication, Circulations, Identities",Université Paris-Dauphine,France,Communities – Tech and Society
Information Systems Management,Université Paris-Dauphine,France,Comm - Technology & Society
Information Systems Management,Université Paris-Dauphine,France,Communities – Tech and Society
International Marketing,Université Paris-Dauphine,France,Comm - Technology & Society
International Marketing,Université Paris-Dauphine,France,Communities – Tech and Society
Law and Society,Université Paris-Dauphine,France,Comm - Technology & Society
Law and Society,Université Paris-Dauphine,France,Communities – Tech and Society
Management Information System,Université Paris-Dauphine,France,Comm - Technology & Society
Management Information System,Université Paris-Dauphine,France,Communities – Tech and Society
Management Technologies,Université Paris-Dauphine,France,Comm - Technology & Society
Management Technologies,Université Paris-Dauphine,France,Communities – Tech and Society
Material Culture,Université Paris-Dauphine,France,Comm - Technology & Society
Material Culture,Université Paris-Dauphine,France,Communities – Tech and Society
Migrations in Globalisation,Université Paris-Dauphine,France,Comm - Technology & Society
Migrations in Globalisation,Université Paris-Dauphine,France,Communities – Tech and Society
Migrations in Globalization,Université Paris-Dauphine,France,Comm - Technology & Society
Migrations in Globalization,Université Paris-Dauphine,France,Communities – Tech and Society
Migrations in globalisation,Université Paris-Dauphine,France,Comm - Technology & Society
Migrations in globalisation,Université Paris-Dauphine,France,Communities – Tech and Society
Pop Art,Université Paris-Dauphine,France,Comm - Technology & Society
Pop Art,Université Paris-Dauphine,France,Communities – Tech and Society
Cross Cultural Communication & Management,Université Paris-Dauphine,France,Comm - Cltr of the Modern Wrl
Cross Cultural Communication & Management,Université Paris-Dauphine,France,Comm - Cultures of the Mod W
